String,Introduced,WHOIS Directory Service,Contacts
.apple,2015,https://whois.nic.apple/,"Scott Harlan;Apple Inc.;1 Infinite Loop;Cupertino, California 95014;US;Tel: 01 4089961010;Email: atld@apple.com;http://www.apple.com"
.aquarelle,2014,https://whois.nic.aquarelle/,"Aubin;Aquarelle.com;24-32 rue Jacques Ibert;Levallois Perret, IDF 92300;FR;Tel: +33 140541010;Fax: +33 140541064;Email: naubin@universalflower.com;http://www.aquarelle.com"
.arab,2015,https://whois.nic.arab/,"League of Arab States;General Secretariat for the League of Arab StatesTahrir Square,;Cairo, Cairo 11642;EG;Tel: +202 25750511;Fax: +202 25740331;Email: atldsecondary@las.int;http://www.arableagueonline.org"
.aramco,2014,https://whois.nic.aramco/,"Aramco Services Company;9009 West Loop South;Houston, Texas 77096;US;Tel: +01 713 432 4000;Fax: +01 713 432 8468;Email: asc-gtld-arabic@aramcoservices.com;http://www.aramcoservices.com"
.archi,2014,https://whois.nic.archi/,"Afilias plc;4th Floor, International House, 3 Harbourmaster Pl., IFSC;Dublin, D01 K8F1;IE;Tel: + 35318541100;Fax: + 35317918569;Email: rlaplante@afilias.info;http://www.afilias.info/contact-us"
.army,2014,https://whois.nic.army/,"United TLD Holdco Ltd.;United TLD Holdco Ltd.;One Clarendon row;Dublin, 2;IE;Tel: 00353 1 9012188;Fax: 00353 1 9012199;Email: publiccontact@rightside.co;http://www.rightside.co"
.art,2016,https://whois.nic.art/,"John Matson;UK Creative Ideas Limited;12 Mount Havelock;Douglas, n/a IM1 2QC;GB;Tel: +44 1624 618 444;Fax: +44 1624 618 555;Email: jcm@sferiq.com;dotart.domains"
.arte,2014,http://whois.nic.arte/,"ARTE;4, Quai du Chanoine Winterer;Strasbourg, n/a 67000;FR;Tel: +33 3 88 14 22 22;Fax: +33 3 88 14 22 00;Email: ngtld-arte@cscinfo.com;http://nic.arte"
.asda,2015,https://whois.nic.asda/,"Wal-Mart Stores, Inc.;702 Southwest 8th Street;Bentonville, Arkansas 72716;US;Tel: 479 273 4505;Fax: 479 277 5991;Email: walmartregistries@fairwindspartners.com;http://www.walmartstores.com"
.asia,2007,http://whois.nic.asia,"DotAsia Organisation;12/F, Daily House, 35-37 Haiphong Road;Tsim Sha Tsui, Kowloon ;HK;Tel: +852 2244 7900;Fax: +852 2244 7902;http://www.registry.asia/"
.associates,2014,http://whois.nic.associates/,"Donuts Inc.;Baxter Hill, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.athleta,2015,http://whois.nic.athleta/,"The Gap, Inc.;2 Folsom Street;San Francisco, California 94105;US;Tel: +1 415 427 0100;http://www.nic.athleta"
.attorney,2014,http://whois.nic.attorney/,"United TLD Holdco Ltd.;One Clarendon Row;Dublin, 2;IE;Tel: 00353 1 9012188;Fax: 00353 1 9012199;Email: publiccontact@rightside.co;http://www.rightside.co"
.auction,2014,http://whois.nic.auction/,"United TLD Holdco Ltd.;One Clarendon Row;Dublin, 2;IE;Tel: 00353 1 9012188;Fax: 00353 1 9012199;Email: publiccontact@rightside.co;http://www.rightside.co"
.audi,2015,https://whois.nic.audi/,"AUDI Aktiengesellschaft;Auto-Union-Strasse 1;Ingolstadt, Bayern 85057;DE;Tel: +49 (841) 9-0;Email: info@audi.de;http://www.audi.de"
.audible,2015,https://whois.nic.audible/,"Amazon Registry Services, Inc.;410 Terry Avenue North;Seattle, WA 98109;US;Tel: (206) 266-1000;Fax: (206) 946-7702;Email: contactaudibletld@amazon.com;http://www.nic.audible"
.audio,2014,https://whois.nic.audio/,"Uniregistry, Corp.;Uniregistry, Corp.;3-110 Governors Square1361 GT;Grand Cayman, Grand Cayman KY1-1108;KY;Tel: +13457496263;Fax: +13457466263;Email: contact@uniregistry.com;http://www.uniregistry.com"
.auspost,2015,https://whois.nic.auspost/,"Australian Postal Corporation;111 Bourke Street;Melbourne, Victoria 3000;AU;Tel: +61 3 8847 9045;Fax: +61 3 9206 4153;Email: ngtld-auspost@cscinfo.com;http://www.auspost.com.au"
.author,2014,https://whois.nic.author/,"Amazon Registry Services, Inc.;410 Terry Avenue North;Seattle, WA 98109;US;Tel: +12062661000;Fax: +12069467702;Email: contactauthor@amazon.com;http://www.nic.author/"
.auto,2014,https://whois.nic.auto/,"Cars Registry Limited ;3-110 Governors Square1361 GT;Grand Cayman, Grand Cayman KY1-1108;KY;Tel: +13457496263;Fax: +13457466263;Email: contact@uniregistry.com;http://www.uniregistry.com"
.autos,2014,https://whois.nic.autos/,"DERAutos, LLC;DERAutos, LLC;150 Granby Street;Norfolk, VA 23510;US;Tel: 17573518802;Fax: (757) 664-2164;Email: tldadmin@dominionenterprises.com;http://www.dominionenterprises.com/"
.avianca,2015,https://whois.nic.avianca/,"Aerovias del Continente Americano S.A. Avianca;Avenida Calle 26 No. 59-15;Bogota, D.C. 11001;CO;Tel: 571 587 7700;Fax: 571 423 5500;Email: hector.lopez@avianca.com;http://www.avianca.com"
.aws,2015,https://whois.nic.aws/,"Amazon Registry Services, Inc.;410 Terry Avenue North;Seattle, WA 98109;US;Tel: (206) 266-1000;Fax: (206) 946-7702;Email: contactaws@amazon.com;http://www.nic.aws"
.axa,2013,https://whois.nic.axa/,"AXA SA;AXA SA;25 avenue Matignon;Paris, Paris 75008;FR;Tel: 44 0117 322 5346;http://www.axa.com/"
.azure,2014,https://whois.nic.azure/,"Microsoft Corporation;One Microsoft Way;Redmond, Washington 98052-7329;US;Tel: +1 425 882 8080;Fax: +1 425 706 7329;Email: tlddom@microsoft.com;http://nic.azure"
.baby,2015,https://whois.nic.baby/,"Johnson & Johnson Services, Inc.;One Johnson & Johnson Plaza;New Brunswick, New Jersey 08933;US;Tel: +1 732 524 0400;Email: babyregistry@fairwindspartners.com;http://nic.baby"
.baidu,2015,https://whois.nic.baidu/,"Baidu, Inc.;Baidu Campus, No.10 Shangdi 10th StreetHaidian District;Beijing, Beijing 100085;CN;Tel: +86 10 5992 8888;Fax: +86 10 5992 0062;Email: baidunewg@ename.com;http://www.baidu.com"
.banamex,2015,http://whois.nic.banamex/,"c/o Brian Winterfeldt;Citigroup Inc.;388 Greenwich St;New York, New York 10013;US;Tel: +1 212 559 1000;Email: banamex-bjw@mayerbrown.com;http://www.citigroup.com"
.bananarepublic,2015,http://whois.nic.bananarepublic/,"The Gap, Inc.;2 Folsom Street;San Francisco, California 94105;US;Tel: +1 415 427 0100;http://www.nic.bananarepublic"
.band,2014,https://whois.nic.band/,"United TLD Holdco Ltd.;One Clarendon Row;Dublin, 2;IE;Tel: 00353 1 9012188;Fax: 00353 1 9012199;Email: publiccontact@rightside.co;http://www.rightside.co"
.bank,2014,https://whois.nic.bank/,"fTLD Registry Services LLC;600 13th Street, NW, Suite 400;Washington, District of Columbia 20005;US;Tel: +1 202 589 2532;www.ftld.com"
.bar,2013,https://whois.nic.bar/,"Aaron Grego;Punto 2012 S.A.P.I. de C.V.;Juan Escutia, 29 Col. Condesa Mexico;Mexico City, Mexico D.F. 06140;MX;Tel: 52 55 85895544;http://www.nic.bar/"
.barcelona,2014,https://whois.nic.barcelona/,"Municipi de Barcelona;Pl. de Sant Jaume;Barcelona, Catalunya 08002;ES;Tel: +34934027004;Fax: +34934023184;Email: domainsicann@bcn.cat;http://www.bcn.cat"
.barclaycard,2014,https://whois.nic.barclaycard/,"Barclays Bank PLC;1 Churchill Place;London, London E14 5HP;GB;Tel: +4533886365;Fax: +4533886101;Email: barclays@gtld.com;http://www.nic.barclaycard"
.barclays,2014,https://whois.nic.barclays/,"Barclays Bank PLC;1 Churchill Place;London, London E14 5HP;GB;Tel: +4533886365;Fax: +4533886101;Email: barclays@gtld.com;http://www.nic.barclays"
.barefoot,2015,https://whois.nic.barefoot/,"Gallo Vineyards, Inc.;600 Yosemite Blvd.;Modesto, California 95354;US;Tel: +1 209 341 3111;Fax: +1 209 573 8520;Email: ngtld-barefoot@cscinfo.com;nic.barefoot"
.bargains,2013,https://whois.donuts.co,"Half Hallow, LLC;Half Hallow, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.baseball,2015,https://whois.nic.baseball/,"MLB Advanced Media DH, LLC;75 Ninth Avenue;New York, New York 10011;US;Tel: +1 212 485 6142;http://www.nic.baseball"
.basketball,2015,https://whois.nic.basketball/,"Fédération Internationale de Basketball (FIBA);5, Route Suisse – P.O Box 29;Mies, Geneva 1295;CH;Tel: +44 (0)203 3880600;Fax: +44 (0)20 33 88 0601;Email: hamish@roargroup.com;www.fiba.com"
.bauhaus,2014,https://whois.nic.bauhaus/,"Werkhaus GmbH;Gutenbergstraße 21;Mannheim, Baden-Württemberg 68167;DE;Tel: +49 621 3905 0;Email: domains@bahag.com;http://http://www.bauhaus.eu/"
.bayern,2014,https://whois.nic.bayern/,"Bayern Connect GmbH;Bayern Connect GmbH;Antonienstr. 3;München, . 80802;DE;Tel: +49 (0) 89 360 351 05;mm-registry.com"
.bbc,2014,https://whois.nic.bbc/,"British Broadcasting Corporation;c/o Domain Manager, Broadcasting House, Portland Place;London, Greater London W1A 1AA;GB;Tel: +44 208743800;Fax: +44 208 008 1891;Email: gtld_manager@bbc.co.uk;http://nic.bbc"
.bbt,2015,https://whois.nic.bbt/,"BB&T Corporation;200 West Second Street;Winston Salem, North Carolina 27101;US;Tel: (800) 226-5228;Fax: (919) 791-3356;Email: ngtld-bbt@cscinfo.com;http://nic.bbt"
.bbva,2014,http://whois.nic.bbva/,"BBVA;Ciudad BBVA. La Vela. Calle Sauceda, 28,;Madrid, n/a 28050;ES;Tel: +34 91 374 63 21;Email: info-newgtld@bbva.com;http://www.bbva.com"
.bcg,2015,https://whois.nic.bcg/,"The Boston Consulting Group, Inc.;One Beacon Street;Boston, Massachusetts 02108;US;Tel: (617) 973-1200;Email: ngtld-bcg@cscinfo.com;http://nic.bcg"
.bcn,2014,https://whois.nic.bcn/,"Municipi de Barcelona;Pl. de Sant Jaume;Barcelona, Catalunya 08002;ES;Tel: +34934027004;Fax: +34934023184;Email: domainsicann@bcn.cat;http://www.bcn.cat"
.beats,2015,https://whois.nic.beats/,"Scott Harlan;Beats Electronics, LLC;8600 Hayden Place;Culver City, California 90232;US;Tel: +1(408)996-1010;Fax: +1(408)253-0186;Email: btld@apple.com;http://www.beatsbydre.com"
.beauty,2015,https://whois.nic.beauty/,"L'Oréal;575 Fifth Avenue;New York, NY 10017;US;Tel: (212) 818-1500;Email: beautyregistry@fairwindspartners.com;http://www.loreal.com"
.beer,2014,https://whois.nic.beer/,"Minds + Machines Group Limited;32 Nassau Street;Dublin, . 2;IE;Tel: +353 (0)1 677 8933;mm-registry.com"
.bentley,2014,http://whois.nic.bentley/,"Bentley Registry Services;Bentley Motors Limited;c/o Demys Ltd., 33 Melville Street;Edinburgh, Scotland EH3 7JF;GB;Tel: +44.1312260660;http://nic.bentley"
.berlin,2013,https://whois.nic.berlin/,"Dirk Krischenowski;dotBERLIN GmbH & Co. KG;Gustav-Müller-Straße 1;Berlin, Berlin 10829;DE;Tel: +49 30 49782355;Fax: +493049782356;Email: mail@dot.berlin;http://dot.berlin"
.best,2013,https://whois.nic.best/,"Chris Murphy;BestTLD Pty Ltd;88 Phillip Street, Suite 4, Level 33;Sydney, NSW 2000;AU;Tel: +61 2 9299 0499;Email: dotbest@peoplebrowsr.com;http://aboutus.best"
.bestbuy,2015,http://whois.nic.bestbuy/,"BBY Solutions, Inc.;7601 Penn Avenue South;Richfield, Minnesota 55423;US;Tel: +1 612 292 2300;Fax: +1 612 292 2323;Email: dotbestbuy@markmonitor.com;http://www.nic.bestbuy"
.bet,2015,https://whois.nic.bet/,"Afilias plc;4th Floor, International House, 3 Harbourmaster Pl., IFSC;Dublin, D01 K8F1;IE;Tel: + 35318541100;Fax: + 35317918569;Email: rlaplante@afilias.info;http://www.afilias.info/contact-us"
.bharti,2014,https://whois.nic.bharti/,"Bharti Enterprises (Holding) Private Limited;Nupur Khanna;Bharti Crescent 1, Nelson Mandela Marg Road Vasant Kunj, Phase III;New Delhi, IN 110070;IN;Tel: (914) 666-6100;http://www.bharti.com"
.bible,2014,https://whois.nic.bible/,"American Bible Society;101 North Independence Mall East FL8;Philadelphia, PA 19106-2112;US;Tel: +1 215-309-0900;Email: info@nic.bible;http://nic.bible"
.bid,2013,https://whois.nic.bid/,"dot Bid Limited (Famous Four Media);dot Bid Limited (Famous Four Media);2nd Floor, Leisure Island Business Centre;Ocean Village, Gibraltar GX11 1AA;GI;Tel: 350 21650000;http://www.famousfourmedia.com/"
.bike,2013,https://whois.donuts.co,"Grand Hollow, LLC;Grand Hollow, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.bing,2014,https://whois.nic.bing/,"Microsoft Corporation;One Microsoft Way;Redmond, Washington 98052-7329;US;Tel: +1 425 882 8080;Fax: +1 425 706 7329;Email: tlddom@microsoft.com;http://nic.bing"
.bingo,2014,https://whois.donuts.co,"Donuts Inc.;Sand Cedar, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: (424) 254-8537;Fax: (425) 671-0020;Email: info@donuts.email;http://www.donuts.domains"
.bio,2014,https://whois.nic.bio/,"Afilias plc;4th Floor, International House, 3 Harbourmaster Pl., IFSC;Dublin, D01 K8F1;IE;Tel: + 35318541100;Fax: + 35317918569;Email: rlaplante@afilias.info;http://www.afilias.info/contact-us"
.biz,2001,www.whois.biz,"Sean Kaine;NeuStar, Inc.;21575 Ridgetop Circle;Sterling, VA 20166;US;Tel: 1 571 434 5400;Email: reg-support@neustar.biz;http://www.neustar.biz/services/domain-name-registry"
.black,2014,https://whois.nic.black/,"Afilias plc;4th Floor, International House, 3 Harbourmaster Pl., IFSC;Dublin, D01 K8F1;IE;Tel: + 35318541100;Fax: + 35317918569;Email: rlaplante@afilias.info;http://www.afilias.info/contact-us"
.blackfriday,2014,https://whois.nic.blackfriday/,"Uniregistry, Corp.;Uniregistry, Corp.;Governors Square, Unit 3-110, 23 Lime Tree Bay Avenue, PO Box 1361;George Town, Grand Cayman, KY KY1-1108;KY;Tel: 13457496263;http://www.uniregistry.com/"
.blanco,2015,http://whois.nic.blanco/,"BLANCO;Flehinger Straße 59;Oberderdingen, n/a 75038;DE;Tel: +49 7045 44 81100;http://nic.blanco"
.blockbuster,2015,https://whois.nic.blockbuster/,"Dish DBS Corporation;9601 S. Meridian Boulevard;Englewood, Colorado 80112;US;Tel: (303) 723-1000;Fax: (303) 723-1699;Email: cscngtlds15@cscinfo.com;http://nic.blockbuster"
.blog,2015,http://whois.nic.blog,"Knock Knock WHOIS There, LLC;132 Hawthorne Street;San Francisco, CA 94107;US;Tel: (877) 273-3049;http://nic.blog"
.bloomberg,2014,https://whois.nic.bloomberg/,"William Ried;Bloomberg IP Holdings LLC;25 E. 78th Street;New York, New York 10075;US;Tel: +12126175632;Fax: +19175222701;Email: bip-admin@bloomberg.com;http://www.nic.bloomberg"
